fold,epoch,train_loss,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,lr
1,1,0.717939,0.805962,0.444444,0.000000,1.000000,0.761111,0.00010000
1,2,0.715676,0.605109,0.703704,1.000000,0.333333,0.677778,0.00009999
1,3,0.701018,0.584997,0.703704,1.000000,0.333333,0.688889,0.00009996
1,4,0.689675,0.577791,0.703704,1.000000,0.333333,0.722222,0.00009990
1,5,0.690917,0.560540,0.703704,1.000000,0.333333,0.627778,0.00009983
1,6,0.702125,0.620060,0.703704,1.000000,0.333333,0.627778,0.00009973
1,7,0.719595,0.601968,0.703704,1.000000,0.333333,0.555556,0.00009961
1,8,0.678377,0.579033,0.703704,1.000000,0.333333,0.605556,0.00009947
1,9,0.680943,0.601364,0.703704,1.000000,0.333333,0.577778,0.00009931
1,10,0.717068,0.824258,0.555556,1.000000,0.000000,0.327778,0.00009912
1,11,0.697334,0.894123,0.555556,1.000000,0.000000,0.344444,0.00009892
1,12,0.688370,0.572475,0.666667,0.933333,0.333333,0.633333,0.00009869
1,13,0.694997,0.607484,0.703704,1.000000,0.333333,0.605556,0.00009844
1,14,0.712350,0.732071,0.555556,1.000000,0.000000,0.672222,0.00009818
1,15,0.726539,0.642745,0.666667,0.933333,0.333333,0.544444,0.00009789
1,16,0.690805,0.851087,0.555556,1.000000,0.000000,0.216667,0.00009758
1,17,0.712276,0.577161,0.666667,0.933333,0.333333,0.511111,0.00009725
1,18,0.702402,0.646945,0.703704,1.000000,0.333333,0.533333,0.00009690
1,19,0.719147,0.639162,0.703704,1.000000,0.333333,0.533333,0.00009652
1,20,0.703286,0.638763,0.703704,1.000000,0.333333,0.555556,0.00009613
1,21,0.702172,0.622671,0.703704,1.000000,0.333333,0.555556,0.00009572
1,22,0.712187,0.694515,0.666667,0.933333,0.333333,0.588889,0.00009529
1,23,0.763051,0.677563,0.703704,1.000000,0.333333,0.633333,0.00009484
1,24,0.694392,0.667628,0.703704,1.000000,0.333333,0.655556,0.00009437
1,25,0.745547,0.582815,0.703704,1.000000,0.333333,0.744444,0.00009388
1,26,0.696644,1.291669,0.555556,1.000000,0.000000,0.477778,0.00009337
1,27,0.694833,0.647611,0.703704,1.000000,0.333333,0.700000,0.00009284
1,28,0.729206,0.787481,0.555556,1.000000,0.000000,0.444444,0.00009229
1,29,0.707885,0.574694,0.666667,0.933333,0.333333,0.638889,0.00009173
1,30,0.713158,0.738186,0.703704,1.000000,0.333333,0.561111,0.00009115
1,31,0.689774,0.922885,0.555556,1.000000,0.000000,0.311111,0.00009055
1,32,0.680664,0.616988,0.703704,1.000000,0.333333,0.572222,0.00008993
1,33,0.715803,0.601888,0.703704,1.000000,0.333333,0.672222,0.00008929
1,34,0.707780,0.666434,0.703704,1.000000,0.333333,0.627778,0.00008864
1,35,0.727781,0.657569,0.703704,1.000000,0.333333,0.594444,0.00008797
1,36,0.706996,0.707985,0.555556,1.000000,0.000000,0.588889,0.00008729
